,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded
22,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Молчание ягнят</span>","Молодой Ф.Б.И. Ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.",1991,18+,8.6,58,1,5
23,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Спасти рядового Райана</span>","После посадки в Нормандии группа солдат США идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.",1998,16+,8.6,49,2,4
24,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Город Бога</span>","В трущобах Рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.",2002,16+,8.6,10,2,4
25,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Зелёная миля</span>","Смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.",1999,14+,8.6,9,3,3
26,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Жизнь прекрасна</span>","Когда открытый еврейский официант и его сын становятся жертвами Холокоста, он использует идеальную смесь воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.",1997,0+,8.6,56,1,1
27,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Терминатор 2: Судный день</span>","Киборг, идентичный тем, кто не смог убить Сару Коннор, теперь должен защитить своего десятилетнего сына Джона от еще более продвинутого и могущественного киборга.",1991,16+,8.6,17,2,4
28,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздные войны: Эпизод 4 - Новая надежда</span>","Люк Скайуокер объединяет усилия с рыцарем-джедаем, дерзким пилотом, вуки и двумя дроидами, чтобы спасти галактику от боевой станции, разрушающей мир империи, а также пытается спасти ... прочитать все",1977,0+,8.6,1,2,1
29,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Назад в будущее</span>","Марти МакФлай, 17-летний ученик средней школы, случайно отправил 30 лет в прошлое в путешествии во времени Делореан, изобретенного его близким другом, научным сотрудником Доком Брауном.",1985,12+,8.5,56,1,2
30,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Унесённые призраками</span>","Во время переезда своей семьи в пригороды угрюмая 10-летняя девочка бродит в мир, которым управляют боги, ведьмы и духи, и где люди превращаются в зверей.",2001,12+,8.6,4,2,2
31,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Пианист</span>","Во время Второй мировой войны известный польский музыкант Wladyslaw сталкивается с различной борьбой, поскольку он теряет контакт со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.",2002,16+,8.5,30,2,4
32,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Гладиатор</span>","Бывший римский генерал намерен точно месть против коррумпированного императора, который убил его семью и отправил его в рабство.",2000,18+,8.5,35,2,5
33,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Паразиты</span>",Жадность и дискриминация класса угрожают недавно сформированным симбиотическим отношениям между богатой семьей парка и обездоленным кланом Ким.,2019,18+,8.5,12,2,5
34,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Психо</span>","Секретарь по прибеганию к растрату укрывается в уединенном калифорнийском мотеле, принадлежащем подавленному человеку и его властной матери.",1960,16+,8.5,49,1,4
35,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Король лев</span>","Принц Лев Симба и его отец подвергаются нападению его горького дяди, который хочет подняться на престол.",1994,0+,8.5,28,1,1
36,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Могила светлячков</span>",Молодой мальчик и его младшая сестра изо всех сил пытаются выжить в Японии во время Второй мировой войны.,1988,12+,8.5,28,1,2
37,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Отступники</span>","Полицейский под прикрытием и родинка в полиции пытаются идентифицировать друг друга, проникнув в ирландскую банду в Южном Бостоне.",2006,16+,8.5,31,2,4
38,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Одержимость</span>","Многообещающий молодой барабанщик записывается в музыкальную консерваторию, где его мечты о величии обучаются инструктором, который не остановится ни перед чем, чтобы реализовать потенциал студента.",2014,16+,8.5,46,1,4
39,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Харакири</span>","Когда Ронин, прося Сеппуку во дворце феодального лорда, рассказывается о жестоком самоубийстве другого Ронина, который ранее посещал, он показывает, как их прошлые переплетаются - и при этом ... прочтите все",1962,Not Rated,8.6,13,2,9
40,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Американская история Икс</span>","Живая жизнью, отмеченная насилием, Неонацистский Дерек, наконец, отправляется в тюрьму после убийства двух чернокожих молодых людей. После его освобождения Дерек клянется измениться; Он надеется предотвратить его брата Дэнни, который идентифицирует",1998,16+,8.5,59,1,4
41,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Престиж</span>",Соперничающие маги 19-го века вступают в горькую битву за коммерческие секреты.,2006,12+,8.5,10,2,2
42,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Леон</span>",Итальянский хит -мужчина защищает нью -йоркскую сироту.,1994,16+,8.5,50,1,4
43,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Человек-паук: Паутина вселенных</span>","Путешествуя по мультивселенной, Майлз Моралес встречает новую команду пауков, состоящую из героев из разных измерений. Но когда герои сталкиваются с тем, как справиться с новой угрозой, м ... прочитайте все",2023,6+,8.5,20,2,6
44,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Касабланка</span>","Циничный экспатриант американский владелец кафе изо всех сил пытается решить, помогать ли его бывшему любовнику и ее бегтерцу избежать нацистов во французском Марокко.",1942,6+,8.5,42,1,6
45,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Подозрительные лица</span>","Единственный выживший в результате перестрелки пирса рассказывает историю о том, как пресловутый преступник повлиял на события, которые начались с пяти преступников, собравшихся в кажущейся случайной полицейской линейке.",1995,16+,8.5,46,1,4
46,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">1+1</span>","После того, как он становится четырехлетним из аварии на парапланеринге, аристократ нанимает молодого человека из проектов, чтобы он был его попечителем.",2011,14+,8.5,52,1,3
47,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Новый кинотеатр «Парадизо»</span>","Сальваторе, известный режиссер, возвращается в свой родной город на похороны резокриста местного театра Альфредо. Он вспоминает о своей жизни, когда молодой мальчик влюбился с ... читайте все",1988,16+,8.5,54,2,4
48,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Новые времена</span>",Бродяга изо всех сил пытается жить в современном промышленном обществе с помощью молодой бездомной женщины.,1936,0+,8.5,27,1,1
49,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Чужой</span>",После изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни.,1979,18+,8.5,57,1,5
50,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Окно во двор</span>","Скучный фотограф, выздоравливающий от сломанной ноги, проходит время, наблюдая за своими соседями и начинает подозревать одного из них об убийстве.",1954,12+,8.5,52,1,2
51,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Однажды на Диком Западе</span>","Загадочный незнакомец с гармоникой объединяет усилия с печально известным отчаянием, чтобы защитить прекрасную вдову от безжалостной убийцы, работающей на железной дороге.",1968,PG-13,8.5,46,2,11
52,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Джанго освобождённый</span>","С помощью немецкой охотника за щедрости, освобожденный раб, который собирается спасти свою жену от жестокого владельца плантации в Миссисипи.",2012,18+,8.5,45,2,5
53,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Огни большого города</span>","С помощью богатого беспорядочного Tippler, бродяги с влажными глазами, который влюбился в невидимую цветочную девушку, накапливает деньги, чтобы помогать ей медицинской помощи.",1931,G,8.5,27,1,8
54,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Апокалипсис сегодня</span>","Офицеру армии США, служащего во Вьетнаме, поручено убийством полковника спецназа Renegade, который считает себя Богом.",1979,18+,8.4,27,2,5
55,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Дюна: Часть вторая</span>","Пол Атрейдес объединяется с Фременом, находясь на пути мести, отомстив заговорщикам, которые уничтожили его семью. Столкнувшись с выбором между любовью всей его жизни и судьбой Вселенной ... Прочтите все",2024,PG-13,8.5,46,2,11
56,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Помни</span>","Леонард Шелби, следователь по страхованию, страдает от антероградной амнезии и использует заметки и татуировки, чтобы охотиться за человеком, который, по его мнению, убил его жену, что является последним, что он помнит.",2000,16+,8.4,53,1,4
57,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">ВАЛЛ·И</span>","Робот, который отвечает за очистку покрытой отходом земля, встречает другого робота и влюбляется в нее. Вместе они отправились в путешествие, которое изменит судьбу человечества.",2008,0+,8.4,38,1,1
58,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Индиана Джонс: В поисках утраченного ковчега</span>","В 1936 году археологи и авантюристы правительства США наняли Индиана Джонс, чтобы найти Ковчег Завета, прежде чем нацисты смогли получить свои необычайные полномочия.",1981,0+,8.4,55,1,1
59,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Жизнь других</span>","В 1984 году в Восточном Берлине агент секретной полиции, проводящего наблюдение за писателем и его любовником, становится все более поглощенным своей жизнью.",2006,16+,8.4,17,2,4
60,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Мстители: Война бесконечности</span>","Мстители и их союзники должны быть готовы пожертвовать всеми в попытке победить могущественных Таноса, прежде чем его блиц разрушительного и руина положит конец вселенной.",2018,16+,8.4,29,2,4
61,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Сансет бульвар</span>","Сценарист развивает опасные отношения с выцветшей кинозвездой, решившей, чтобы сделать триумфальное возвращение.",1950,Approved,8.4,50,1,7
62,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Человек-паук: Через Вселенные</span>","Teen Miles Morales становится Человеком-пауком своей вселенной и должен присоединиться к пять человек с пауками из других измерений, чтобы остановить угрозу для всех реалий.",2018,6+,8.4,57,1,6
63,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тропы славы</span>","Полковник защищает трех своих солдат в военном суде после того, как они отказываются от суицидальной атаки.",1957,Approved,8.4,28,1,7
64,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Свидетель обвинения</span>","Ветеран британский адвокат должен защищать своего клиента в ходе судебного разбирательства, который удивил после удивления.",1957,Approved,8.4,56,1,7
65,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Сияние</span>","Семья направляется в изолированный отель на зиму, где зловещее присутствие влияет на отца на насилие. В то же время его экстрасенс",1980,18+,8.4,26,2,5
66,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Великий диктатор</span>","Диктатор Аденоид Хинкель пытается расширить свою империю, в то время как бедный еврейский парикмахер пытается избежать преследований с режима Хинкеля.",1940,0+,8.4,5,2,1
67,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">12-я неудача</span>",Реальная история офицера IPS Маноджа Кумара Шарма и офицера IRS Шраддха Джоши.,2023,Not Rated,8.8,27,2,9
68,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Чужой 2</span>","Через десятилетия после выживания инцидента с Ностромо Эллен Рипли отправляют, чтобы восстановить контакт с терраформирующей колонией, но она сражается с королевой инопланетян и ее потомством.",1986,16+,8.4,17,2,4
69,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бесславные ублюдки</span>",Во время Второй мировой войны во время Второй мировой войны план убийства нацистских лидеров группой еврейских солдат США совпадает с мстительными планами владельца театра на то же самое.,2009,18+,8.4,33,2,5
70,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тёмный рыцарь: Возрождение легенды</span>","Бэйн, внушительный террорист, нападает на Готэм-Сити и нарушает свой восьмилетний период мира. Это заставляет Брюса Уэйна выйти из скрытия и снова надеть накидку и капот Бэтмена.",2012,12+,8.4,44,2,2
71,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тайна Коко</span>","Стремительный музыкант Мигель, столкнувшись с наследственным запретом своей семьи на музыку, входит в землю мертвых, чтобы найти своего пра-пра-дедушки, легендарного певца.",2017,12+,8.4,45,1,2
72,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Амадей</span>","Жизнь, успех и неприятности Вольфганга Амадея Моцарта, как сказал Антонио Сальери, современный композитор, который глубоко завидовал таланту Моцарта и утверждал, что убил его ... прочтите все",1984,PG,8.4,40,2,10
73,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">История игрушек</span>","Ковбойская кукла глубоко угрожает и завидует, когда новая фигура по борьбе с космосором вытесняет его в качестве лучшей игрушки в спальне мальчика.",1995,6+,8.3,21,1,6
74,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Мстители: Финал</span>","После разрушительных событий Мтситетели: ВОЕННАЯ БОСКОНЕГЕАНА (2018) вселенная находится в руинах. С помощью оставшихся союзников Мстители собираются еще раз, чтобы повернуть в виду Танос ... прочитать все",2019,16+,8.4,1,3,4
75,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Умница Уилл Хантинг</span>","У Уилл Хантинг, уборщик в MIT, есть подарок для математики, но нуждается в помощи психолога, чтобы найти направление в его жизни.",1997,16+,8.3,6,2,4
76,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Олдбой</span>","После того, как он был похищен и заключен в тюрьму в течение пятнадцати лет, Огал Дэ-су освобождается, только чтобы обнаружить, что он должен отследить своего похитителя за пять дней.",2003,18+,8.3,0,2,5
77,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу</span>","Мраво неуравновешенная американская общая приказывает к приступу водородной бомб на Советский Союз, инициируя путь к глобальному ядерному Холокосту, что военная комната, полная политиков и генералов, безумно ... прочитайте все",1964,PG,8.3,35,1,10
78,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Красота по-американски</span>","Сексуально разочарованный пригородный отец имеет кризис в середине жизни после того, как он увлекся лучшим другом его дочери.",1999,16+,8.3,2,2,4
79,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Подводная лодка</span>","Немецкая подводная лодка преследует холодные воды Северной Атлантики, когда ее молодая команда испытывает ужас и клаустрофобную жизнь подводного лодка во Второй мировой войне.",1981,Not Rated,8.4,29,2,9
80,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Храброе сердце</span>","Шотландский воин Уильям Уоллес ведет своих соотечественников в восстании, чтобы освободить свою родину от тирании короля Эдварда I из Англии.",1995,16+,8.3,58,2,4
81,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Принцесса Мононоке</span>","Стремясь вылечить себя от проклятия, молодой воин Ашитака наткнулся на конфликт между народом Железного Тауна и принцессой Мононоке, девушкой, воспитанной волками, которая остановится, не ... читать все",1997,12+,8.3,13,2,2
82,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Твоё имя</span>","Двое подростков имеют глубокую, волшебную связь, обнаружив, что они меняют тела. Все может стать еще сложнее, когда мальчик и девочка решают встретиться лично.",2016,12+,8.4,46,1,2
83,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Рай и ад</span>","Исполнительный директор обувной компании Yokohama становится жертвой вымогательства, когда сын его шофера похищен по ошибке и удерживается за выкуп.",1963,Not Rated,8.4,23,2,9
84,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Три идиота</span>","Двое друзей ищут своего давно потерянного спутника. Они возвращаются к своим студенческим дням и вспоминают воспоминания о своем другом, который вдохновил их думать по -другому, даже когда остальная часть Т ... прочитайте все",2009,16+,8.4,50,2,4
85,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Джокер</span>","Артур Флек, клоун вечеринки и неудачный комик, ведет обнищавшую жизнь со своей больной матерью. Однако, когда общество избегает его и зафиксирует урод, он решает обнять ... читать все",2019,18+,8.3,2,2,5
86,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Однажды в Америке</span>","Бывший еврейский гангстер эпохи запрета возвращается в нижнюю восточную сторону Манхэттена 35 лет спустя, где он должен снова противостоять призракам и сожалениям о своей старой жизни.",1984,16+,8.3,49,3,4
87,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Капернаум</span>","Отбывая пятилетний срок за насильственное преступление, 12-летний мальчик предъявляет иск своим родителям за пренебрежение.",2018,18+,8.4,6,2,5
88,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Поющие под дождём</span>","Звезда немой кино влюбляется в припевную девушку так же, как он и его бредовое ревнивое экранное партнер пытаются сделать трудный переход к говорящим картинкам в Голливуде 1920 -х годов.",1952,G,8.3,43,1,8
89,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Иди и смотри</span>","Найдя старую винтовку, молодой мальчик присоединяется к советскому движению сопротивления против безжалостных немецких сил и испытывает ужасы Второй мировой войны.",1985,16+,8.3,22,2,4
90,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Реквием по мечте</span>","Утопии, вызванные наркотиками четырех жителей Кони-Айленда, разрушены, когда их пристрастия проходят глубоко.",2000,18+,8.3,42,1,5
91,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">История игрушек: Большой побег</span>","Игрушки ошибочно доставляются в центр дневного ухода, а не на чердаке прямо перед тем, как Энди уходит в колледж, и Вуди должен убедить другие игрушки, что они не были брошены ... Прочтите все",2010,0+,8.3,43,1,1
92,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздные войны. Эпизод 6: Возвращение джедая</span>","После спасения Хана Соло из Джабба Хатта, повстанческий альянс пытается уничтожить вторую звезду смерти, в то время как Люк изо всех сил пытается помочь Дарту Вейдеру вернуться с темной стороны.",1983,0+,8.3,11,2,1
93,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Охота</span>","Учитель живет одинокой жизнью, все время борясь за опеку своего сына. Его жизнь постепенно становится лучше, когда он находит любовь и получает хорошие новости от своего сына, но его новая удача - это ... прочитать все",2012,16+,8.3,55,1,4
94,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Жить</span>","Бюрократ пытается найти смысл в своей жизни после того, как обнаружит, что у него терминальный рак.",1952,Not Rated,8.3,23,2,9
95,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Вечное сияние чистого разума</span>","Когда их отношения становятся кислыми, пара проходит медицинскую процедуру, чтобы навсегда стираться друг от друга из их воспоминаний.",2004,16+,8.3,48,1,4
96,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">2001 год: Космическая одиссея</span>","Когда на Луне раскрывается таинственный артефакт, космический корабль, укомплектованный двумя людьми, и один суперкомпьютер отправляется в Юпитер, чтобы найти его происхождение.",1968,12+,8.3,29,2,2
97,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бешеные псы</span>","Когда простой украшение ограблений идет ужасно неправильно, выжившие преступники начинают подозревать, что один из них - полицейский информатор.",1992,18+,8.3,39,1,5
98,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Квартира</span>","Манхэттенский страховой клерк пытается подняться в своей компании, позволяя ее руководителям использовать его квартиру для свидания, но офисная политика и его собственные романтические надежды усложняют вопросы.",1960,Approved,8.3,5,2,7
99,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Пожары</span>","Близнецы отправятся на Ближний Восток, чтобы открыть для себя семейную историю и выполнить последние пожелания своей матери.",2010,16+,8.3,11,2,4
100,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Лоуренс Аравийский</span>","История Т.Е. Лоуренс, английский офицер, который успешно объединился и руководил разнообразными, часто враждующими арабскими племенами во время Первой мировой войны, чтобы сражаться с турками.",1962,PG,8.3,47,3,10
101,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Лицо со шрамом</span>","В 1980-х годах определенный кубинский иммигрант, настроенный на преступник, становится крупнейшим контрабандистом наркотиков в Майами и в конечном итоге отменен своей собственной наркоманией.",1983,18+,8.3,50,2,5
102,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Двойная страховка</span>","Страховой представитель соблазняется недовольной домохозяйкой в ​​схему страхового мошенничества и убийства, которая вызывает подозрение его коллеги, следователя по претензиям.",1944,Approved,8.3,47,1,7
103,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">На север через северо-запад</span>","Руководитель по рекламе в Нью -Йорке идет в бегах после того, как его приняли за правительственный агент группой иностранных шпионов, и влюбляется в женщину, чьи лояльности он начинает сомневаться.",1959,12+,8.3,16,2,2
104,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Схватка</span>","Группа высококлассных профессиональных воров начинает чувствовать жар от LAPD, когда они неосознанно оставляют словесную подсказку в своем последнем ограблении.",1995,16+,8.3,50,2,4
105,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Гражданин Кейн</span>","После смерти издательства магната Чарльза Фостера Кейна, журналисты пытаются раскрыть значение его последнего высказывания: «Роузбуд».",1941,12+,8.3,59,1,2
106,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Вверх</span>","78-летний Карл Фредриксен отправляется в Южную Америку в своем доме, оборудованном воздушными шарами, непреднамеренно взяв молодого устремления.",2009,0+,8.3,36,1,1
107,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">М убийца</span>","Когда полиция в немецком городе не может поймать убийца ребенка, другие преступники присоединяются к охоте.",1931,18+,8.3,57,1,5
108,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Цельнометаллическая оболочка</span>","Прагматичный морской пехотинец наблюдает за дегуманизирующими последствиями, которые война во Вьетнаме оказывает на своих собратьев -новобранцев от своих жестоких тренировок в кролическом лагере до кровавой улицы, борьбы с Хюэ.",1987,18+,8.2,56,1,5
